Experiment Name,Well Name,Cluster ID,Cluster Area (um^2),Number of Nuclei,Cluster Mean Intenisty,Cluster Perimeter (um),Cluster Convex Hull (um),Cluster Convex Hull to Perimeter Ratio,Cluster Distance from Well Edge (um)
110520_proxOrg_FFU,A07,24,10032.5009,9,786.8855,524.3856,441.1078,0.8412,113.2627
,,,,,,,,,
110520_proxOrg_FFU,A07,25,2451.7674,0,635.4031,200.4808,192.4619,0.96,119.8675
,,,,,,,,,
110520_proxOrg_FFU,A07,26,1387.0214,1,625.3801,159.3438,153.8896,0.9658,214.1203
,,,,,,,,,
110520_proxOrg_FFU,A07,27,2582.5068,1,872.8871,218.9442,207.3867,0.9472,179.0278
,,,,,,,,,
110520_proxOrg_FFU,A07,28,15156.0868,8,714.5784,610.7479,497.2678,0.8142,154.149
,,,,,,,,,
110520_proxOrg_FFU,A07,29,37535.6603,16,663.01,1615.2037,909.0321,0.5628,239.5219
,,,,,,,,,
110520_proxOrg_FFU,A07,30,1645.8101,4,839.0543,154.9733,150.7635,0.9728,282.7989
,,,,,,,,,
110520_proxOrg_FFU,A07,31,776.3661,0,521.4657,104.6783,102.6827,0.9809,13.545
,,,,,,,,,
110520_proxOrg_FFU,A07,32,19756.715,31,714.3193,851.5929,624.5497,0.7334,152.7626
,,,,,,,,,
110520_proxOrg_FFU,A07,33,536.4082,0,518.0822,87.504,85.9324,0.982,129.9885
,,,,,,,,,
110520_proxOrg_FFU,A07,34,572.9937,1,537.8376,104.6046,102.836,0.9831,264.0277
,,,,,,,,,
110520_proxOrg_FFU,A07,35,928.6264,5,741.091,124.0315,118.0456,0.9517,12.5289
,,,,,,,,,
110520_proxOrg_FFU,A08,1,1887.9201,5,780.6044,170.6501,164.677,0.965,105.5927
,,,,,,,,,
110520_proxOrg_FFU,A08,2,34.4334,0,515.625,37.7429,37.0359,0.9813,1.3753
,,,,,,,,,
110520_proxOrg_FFU,A08,3,60632.9555,107,731.7222,1636.6569,1104.4369,0.6748,113.4877
,,,,,,,,,
110520_proxOrg_FFU,A08,4,1084.1148,5,631.7027,123.1722,120.5639,0.9788,51.5053
,,,,,,,,,
110520_proxOrg_FFU,A08,5,77770.5782,81,685.2933,1765.4759,1188.235,0.673,290.2906
,,,,,,,,,
110520_proxOrg_FFU,A08,6,3938.3229,8,792.7929,297.6893,267.9081,0.9,59.5473
,,,,,,,,,
110520_proxOrg_FFU,A08,7,1664.6408,0,517.1613,154.2614,148.9024,0.9653,562.5604
,,,,,,,,,
110520_proxOrg_FFU,A08,8,1772.2453,3,686.9396,164.4872,159.3109,0.9685,432.9775
,,,,,,,,,
110520_proxOrg_FFU,A08,9,701.043,0,546.1005,107.3606,102.4366,0.9541,472.4381
,,,,,,,,,
110520_proxOrg_FFU,A08,10,7390.8116,11,722.6151,539.3504,450.9246,0.8361,309.0466
,,,,,,,,,
110520_proxOrg_FFU,A08,11,830.7064,0,529.7681,111.9396,108.1885,0.9665,167.2381
,,,,,,,,,
110520_proxOrg_FFU,A08,12,718.2597,1,534.5693,99.24,97.6983,0.9845,126.7949
,,,,,,,,,
110520_proxOrg_FFU,A08,13,26978.0497,60,724.5772,1073.8091,798.9019,0.744,356.0177
,,,,,,,,,
110520_proxOrg_FFU,A08,14,2366.7599,2,612.772,223.7749,213.8936,0.9558,495.5254
,,,,,,,,,
110520_proxOrg_FFU,A08,15,14805.2963,28,706.5234,994.5732,711.4915,0.7154,362.0179
,,,,,,,,,
110520_proxOrg_FFU,A08,16,3692.4467,1,554.2838,371.9598,307.705,0.8273,484.7835
,,,,,,,,,
110520_proxOrg_FFU,A08,17,5360.8537,4,638.9758,420.6656,350.7084,0.8337,204.8961
,,,,,,,,,
110520_proxOrg_FFU,A08,18,1788.386,0,516.5289,159.3438,154.3782,0.9688,156.1118
,,,,,,,,,
110520_proxOrg_FFU,A08,19,21356.7932,21,659.2675,1022.3167,687.7383,0.6727,218.7742
,,,,,,,,,
110520_proxOrg_FFU,A08,20,7.5323,0,515.0714,13.9886,15.0929,1.0789,0.9955
,,,,,,,,,
110520_proxOrg_FFU,A08,21,2442.083,3,593.2976,221.4791,203.2077,0.9175,44.7864
,,,,,,,,,
110520_proxOrg_FFU,A08,22,535.8702,1,508.7811,88.437,87.1696,0.9857,45.018
,,,,,,,,,
110520_proxOrg_FFU,A08,23,790.8927,1,658.7088,109.153,108.3877,0.993,12.2639
,,,,,,,,,
